Correct Text,Noisy Text
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","umubiri Kugira w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gahunda gukurikiza y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga bu mubiri no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaho no kwita ku buzima bwawe ni urugendo rwubaka rurerure imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi uruhare bigira mu guhangana n’indwara ndimihangayiko. Ni ngombwa ko buri wese pbona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","ubuzima Kugira ni bwiza ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. pgihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye."
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kugira kurushaho ubuzima bwiza. Guharanira gutunga zikwiranye intungamubiri n’umubiri, gukora imyitozo, oo kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngororamubiri no kwita ku mrrire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunqa ngororamubiri, y’imyitozo no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira w’umurimo umubiri ugira ubuzima bwiza, ni uko ukwiga wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare mu runini kongera imbaraga mu mubiri no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imsaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare qu guhangana n’indwara Ni n’imihangayiko. ngombwa ko buri wese abona igihe cuo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa byq buri munsi n’ubwitange mu kurinda nbuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima akabaho kandi ubuzima burambye."
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwita ku mirire n’ubuzima bwo mu mutqe ni ingenzi mu kurushaho kugira ubuzima Guharanira bwiza. gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no umutima kugira utuje bigira ingaruka nziza ku buzima bw’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma omubiri ugira ubuzima bwiza kandi ukomeye. ku Kwita mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira itgaruka nziza ku mubiri no ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira nmubiri w’umurimo lgira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya vbyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,no Kwiyitaho kwita ku buzima dwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. no Kwitonda imibereho kugenzura yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurindn ubuzima bw’umubiri. Igihe cyose umuntu ku yitaye buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho burambye. ubuzima"
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwita ku mirire n’ubuzima bwo mu ny mutwe mu ingenzi kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngxroramubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo umubiri bigatuma ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitgzo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira umubiri w’umurimo ugira ubuzima bwiza, ukwiga ni uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri oawe urushaho gukomera. Imyitozo igira ngororamubiri uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu n’indwara guhangana n’imihangayiko. Ni ngombwa ko buri wege aboja igihe kwiyitaho cyo no kwita ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima akabaho kandi ubuzima burambye."
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. gutunga Guharanira intungamubiri zikwiranye n’umubiri, imyitozo, gukora no kugira umutima bigira utuje ingaruka nziza ku buzima bw’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku bityo mubiri, bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubirp, no kuruhuka neza bigira nziza ingaruka ku mubiri no ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira umubiri ugira w’umurimo ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahuyda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruharh runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaho no kwita ku buzima bwawe nf urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu n’indwara guhangana n’imihangayiko. Ni ngombwa ko wese buri abona igihe cyo no kwiyitaho kwita ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","Kugira ubuzima bwiza ni ibintu bitagera ku buryo ahubwo bworoshye, bisaba ibikorwa bya buri munsi mu n’ubwitange kurinda ubuzima bw’umubiri. Igihe cyose umuntu ku yitaye buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye."
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho ubuzima kugira bwiza. gutunga Guharanira intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima ba’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, kuruhuka no neza bigira ingaruka nziza kq mubiri zo ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongefa imvaraga mubiri mu no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaho no kwsta ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu munsi buri bioira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho nc kwita ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima Igihe bw’umubiri. cyose umuntu yitaye buzima ku boe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye."
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho ubuzima kugira bwiza. Guharanira gutunga intungamubiri zikwirante n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi hkomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamueiri, kuruhuka no neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira umubiri w’umurimo ugira ubuzima bwiza, nb ukwiga uko ku wita buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho Imyitozo gukomera. ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. no Kwitonda kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri abona wese igihe cyo kwiyitaho no kwgta ku buzima bw'umubiri n'umutima.
"Kugira ubuzima bwiza ni ibintu bitagera ku buryo bworoshye, ahubwo bisaba ibikorwa bya buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye.","Kugira ubuzima bwiza ni ibintu bitagera ku buryo ahubwo bworoshye, bivaba bya ibikorwa buri munsi n’ubwitange mu kurinda ubuzima bw’umubiri. Igihe cyose umuntu yitaye ku buzima bwe, abasha guhangana n’ibibazo by’ubuzima kandi akabaho ubuzima burambye."
"Kwita ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’umubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nziza ku buzima bw’umubiri.","Kwits ku mirire n’ubuzima bwo mu mutwe ni ingenzi mu kurushaho kugira ubuzima bwiza. Guharanira gutunga intungamubiri zikwiranye n’zmubiri, gukora imyitozo, no kugira umutima utuje bigira ingaruka nzwza ku buzima bw’umubiri."
"Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ku mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi ukomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, no kuruhuka neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima.","Gukora imyitozo ngororamubiri no kwita ku mirire bitera imbaraga ky mubiri, bityo bigatuma umubiri ugira ubuzima bwiza kandi uqomeye. Kwita ku mirire, gukurikiza gahunda y’imyitozo ngororamubiri, kuruhuka no neza bigira ingaruka nziza ku mubiri no ku buzima bw’umutima."
"Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurikiza gahunda y’imyitozo ituma umubiri wawe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara.","Kugira umubiri w’umurimo ugira ubuzima bwiza, ni ukwiga uko wita ku buzima bwawe no gukurixiza gahunda y’imyitozo umubiri ituma wvwe urushaho gukomera. Imyitozo ngororamubiri igira uruhare runini mu kongera imbaraga mu mubiri no kugabanya ibyago by’indwara."
Kwiyitaho no kwita ku buzima bwawe ni urugendo rurerure rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese abona igihe cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.,Kwiyitaio kwita no ku buzima bwawe ni rurerure urugendo rwubaka imbaraga z’umubiri n’umutima. Kwitonda no kugenzura imibereho yacu buri munsi bigira uruhare mu guhangana n’indwara n’imihangayiko. Ni ngombwa ko buri wese igihe abona cyo kwiyitaho no kwita ku buzima bw'umubiri n'umutima.
